movieId,title,genres
1,Baahubali: The Beginning (2015),Action|Drama|Fantasy
2,Baahubali 2: The Conclusion (2017),Action|Drama|Fantasy
3,RRR (2022),Action|Drama
4,Pushpa: The Rise - Part 1 (2021),Action|Crime|Drama|Thriller
5,K.G.F: Chapter 1 (2018),Action|Crime|Drama
6,K.G.F: Chapter 2 (2022),Action|Crime|Drama
7,Arjun Reddy (2017),Drama|Romance
8,Magadheera (2009),Action|Drama|Fantasy|Romance
9,Eega (2012),Fantasy|Thriller
10,Athadu (2005),Action|Thriller
11,Pokiri (2006),Action|Crime|Thriller
12,Businessman (2012),Action|Crime|Drama
13,Srimanthudu (2015),Action|Drama
14,Bharat Ane Nenu (2018),Action|Drama|Political
15,Ala Vaikunthapurramuloo (2020),Action|Comedy|Drama
16,Jersey (2019),Drama|Sport
17,Fidaa (2017),Comedy|Drama|Romance
18,Geetha Govindam (2018),Comedy|Romance
19,Dear Comrade (2019),Action|Drama|Romance
20,Mahanati (2018),Biography|Drama
21,Oh! Baby (2019),Comedy|Fantasy
22,Agent Sai Srinivasa Athreya (2019),Comedy|Mystery|Thriller
23,Major (2022),Action|Biography|Drama
24,Karthikeya (2014),Mystery|Thriller
25,Karthikeya 2 (2022),Adventure|Mystery|Thriller
26,Chatrapathi (2005),Action|Drama
27,Mirchi (2013),Action|Drama|Romance
28,Julayi (2012),Action|Comedy
29,Dookudu (2011),Action|Comedy
30,Temper (2015),Action|Drama
31,Nannaku Prematho (2016),Action|Thriller
32,Aravinda Sametha Veera Raghava (2018),Action|Drama
33,Sarrainodu (2016),Action|Drama
34,Ghajini (2005),Action|Mystery|Thriller
35,Arya (2004),Action|Comedy|Romance
36,Arya 2 (2009),Action|Comedy|Romance
37,Varsham (2004),Action|Romance
38,Bommarillu (2006),Comedy|Drama|Family|Romance
39,Happy Days (2007),Comedy|Drama|Musical|Romance
40,Leader (2010),Drama|Political|Thriller
41,Vedam (2010),Action|Drama
42,Maryada Ramanna (2010),Comedy|Thriller
43,Andala Rakshasi (2012),Drama|Romance
44,Life Is Beautiful (2012),Comedy|Drama|Family
45,Manam (2014),Drama|Fantasy|Family
46,Pelli Choopulu (2016),Comedy|Romance
47,F2: Fun and Frustration (2019),Comedy
48,Venky Mama (2019),Action|Comedy|Drama
49,Krack (2021),Action|Thriller
50,Bheemla Nayak (2022),Action|Drama|Thriller
51,Nuvvu Naaku Nachav (2001),Comedy|Romance
52,Okkadu (2003),Action|Romance|Sport
53,Mallishwari (2004),Comedy|Romance
54,Nuvvostanante Nenoddantana (2005),Drama|Romance
55,Chakram (2005),Drama
56,Aparichithudu (2005),Action|Thriller
57,Vikramarkudu (2006),Action
58,Stalin (2006),Action|Drama
59,Desamuduru (2007),Action|Romance
60,Yamadonga (2007),Fantasy
61,Jalsa (2008),Action|Comedy
62,Arundhati (2009),Fantasy|Horror
63,Kick (2009),Action|Comedy
64,Ye Maaya Chesave (2010),Romance
65,Simha (2010),Action
66,Brindavanam (2010),Action|Comedy|Drama
67,Mr. Perfect (2011),Comedy|Romance
68,Gabbar Singh (2012),Action|Comedy
69,Seethamma Vakitlo Sirimalle Chettu (2013),Drama|Family
70,Attarintiki Daredi (2013),Action|Comedy|Drama
71,Race Gurram (2014),Action|Comedy
72,Legend (2014),Action
73,S/O Satyamurthy (2015),Action|Comedy|Drama
74,Janatha Garage (2016),Action|Drama
75,Khaidi No. 150 (2017),Action|Drama
76,Rangasthalam (2018),Drama
77,Taxiwala (2018),Thriller
78,Saaho (2019),Action|Thriller
79,Uppena (2021),Drama|Romance
80,Sarkaru Vaari Paata (2022),Action|Comedy
81,Ante Sundaraniki! (2022),Comedy|Romance
82,Dhamaka (2022),Action|Comedy
83,Waltair Veerayya (2023),Action|Drama
84,Veera Simha Reddy (2023),Action|Drama
85,Dasara (2023),Action|Drama
86,Virupaksha (2023),Thriller
87,Baby (2023),Drama|Romance
88,Bhagavanth Kesari (2023),Action|Drama
89,Hi Nanna (2023),Drama|Family
90,HanuMan (2024),Action|Adventure|Fantasy
91,Guntur Kaaram (2024),Action|Drama
92,Middle Class Abbayi (MCA) (2017),Comedy|Drama
93,Prati Roju Pandage (2019),Comedy|Drama
94,Chal Mohan Ranga (2018),Comedy|Romance
95,Chalo (2018),Action|Comedy|Romance
96,Chikati Gadilo Chithakotudu (2019),Comedy|Horror|Romance
97,Manmadhudu 2 (2019),Comedy|Romance
98,3 Idiots (2009),Comedy|Drama
99,Dangal (2016),Biography|Drama|Sport
100,Bajrangi Bhaijaan (2015),Adventure|Comedy|Drama
101,PK (2014),Comedy|Drama|Fantasy
102,Chhichhore (2019),Comedy|Drama
103,Andhadhun (2018),Crime|Drama|Thriller
104,Queen (2013),Adventure|Comedy|Drama
105,Badhaai Ho (2018),Comedy|Drama|Family
106,Stree (2018),Comedy|Horror
107,Barfi! (2012),Comedy|Drama|Romance
108,Bhool Bhulaiyaa (2007),Comedy|Horror|Mystery
109,Tanu Weds Manu (2011),Comedy|Drama|Romance
110,Pyaar Ka Punchnama (2011),Comedy|Drama|Romance
111,Housefull (2010),Comedy
112,Welcome (2007),Action|Comedy|Crime
113,Golmaal: Fun Unlimited (2006),Action|Comedy
114,Hera Pheri (2000),Comedy|Crime
115,Phir Hera Pheri (2006),Comedy|Crime
116,Munna Bhai M.B.B.S. (2003),Comedy|Drama
117,Lage Raho Munna Bhai (2006),Comedy|Drama
118,De Dana Dan (2009),Comedy
119,Dream Girl (2019),Comedy|Romance
120,Bhool Bhulaiyaa 2 (2022),Comedy|Horror|Mystery
121,Total Dhamaal (2019),Adventure|Comedy
122,Bhagam Bhag (2006),Comedy|Mystery|Thriller
123,Partner (2007),Comedy|Romance
124,Main Hoon Na (2004),Action|Comedy|Drama
125,Om Shanti Om (2007),Action|Comedy|Drama
126,Chennai Express (2013),Action|Comedy|Romance
127,Happy New Year (2014),Action|Comedy|Crime
128,Dilwale (2015),Action|Comedy|Drama
129,Jab We Met (2007),Comedy|Drama|Romance
130,Kabir Singh (2019),Action|Drama|Romance
131,Shubh Mangal Zyada Saavdhan (2020),Comedy|Romance
132,Bareilly Ki Barfi (2017),Comedy|Romance
133,Luka Chuppi (2019),Comedy|Romance
134,Sonu Ke Titu Ki Sweety (2018),Comedy|Drama|Romance
135,Pagalpanti (2019),Action|Comedy
136,Good Newwz (2019),Comedy|Drama
137,Bala (2019),Comedy|Drama
138,Pati Patni Aur Woh (2019),Comedy|Romance
139,Tamasha (2015),Comedy|Drama|Romance
140,Rockstar (2011),Drama|Music|Romance
141,Yeh Jawaani Hai Deewani (2013),Comedy|Drama|Romance
142,2 States (2014),Comedy|Drama|Romance
143,Kapoor & Sons (2016),Comedy|Drama|Romance
144,Raazi (2018),Action|Drama|Thriller
145,Article 15 (2019),Crime|Drama|Thriller
146,Drishyam (2013),Crime|Drama|Thriller
147,Drishyam 2 (2022),Crime|Drama|Thriller
148,Special 26 (2013),Crime|Drama|Thriller
149,Kaabil (2017),Action|Drama|Romance|Thriller
150,Raees (2017),Action|Crime|Drama|Thriller
151,Uri: The Surgical Strike (2019),Action|Drama|Thriller
152,War (2019),Action|Thriller
153,Ek Tha Tiger (2012),Action|Thriller
154,Phantom (2015),Action|Thriller
155,Gangubai Kathiawadi (2022),Biography|Crime|Drama
156,Padmaavat (2018),Drama|History|Romance
157,Bajirao Mastani (2015),Action|Drama|History|Romance
158,Gully Boy (2019),Drama|Music
159,Brahmastra: Part One - Shiva (2022),Action|Adventure|Fantasy
160,The Kashmir Files (2022),Drama|History
161,Pathaan (2023),Action|Adventure|Thriller
162,Jawan (2023),Action|Thriller
163,Animal (2023),Action|Crime|Drama
164,Rocky Aur Rani Kii Prem Kahaani (2023),Comedy|Drama|Romance
165,Dunki (2023),Comedy|Drama
166,Tiger 3 (2023),Action|Adventure|Thriller
167,Kalank (2019),Drama|Romance
168,Laal Singh Chaddha (2022),Comedy|Drama|Romance
169,Sanju (2018),Biography|Drama
170,Kabhi Khushi Kabhie Gham (2001),Drama|Family|Musical|Romance
171,Kuch Kuch Hota Hai (1998),Comedy|Drama|Romance
172,Dilwale Dulhania Le Jayenge (1995),Drama|Romance
173,Devdas (2002),Drama|Musical|Romance
174,Lagaan (2001),Adventure|Drama|Sport
175,Dil Chahta Hai (2001),Comedy|Drama|Romance
176,Zindagi Na Milegi Dobara (2011),Adventure|Comedy|Drama
177,Gangs of Wasseypur (2012),Action|Crime|Drama|Thriller
178,Veer-Zaara (2004),Drama|Family|Musical|Romance
179,Kal Ho Naa Ho (2003),Comedy|Drama|Romance
180,Pushpa 2: The Rule (2024),Action|Crime|Drama|Thriller
181,Salaar: Part 1 - Ceasefire (2023),Action|Drama|Thriller
182,Kantara (2022),Action|Adventure|Drama|Thriller
183,Sita Ramam (2022),Drama|Romance|War
184,Shyam Singha Roy (2021),Drama|Fantasy|Romance|Thriller
185,Most Eligible Bachelor (2021),Comedy|Drama|Romance
186,Love Story (2021),Drama|Romance
187,Vakeel Saab (2021),Action|Drama|Thriller
188,Jathi Ratnalu (2021),Comedy
189,Colour Photo (2020),Drama|Romance
190,Bheeshma (2020),Action|Comedy|Romance
191,Sarileru Neekevvaru (2020),Action|Comedy
192,Gang Leader (2019),Action|Comedy|Crime
193,iSmart Shankar (2019),Action|Sci-Fi|Thriller
194,Majili (2019),Drama|Romance|Sport
195,Bangarraju (2022),Comedy|Drama|Fantasy
196,Maharshi (2019),Action|Drama
197,Akhanda (2021),Action|Fantasy
198,Adipurush (2023),Action|Adventure|Drama|Mythology
199,Ponniyin Selvan: I (2022),Action|Adventure|Drama|Historical
200,Ponniyin Selvan: II (2023),Action|Adventure|Drama|Historical
201,Jailer (2023),Action|Comedy|Crime|Thriller
202,Leo (2023),Action|Crime|Thriller
203,Vikram (2022),Action|Crime|Thriller
204,Master (2021),Action|Crime|Thriller
205,Varisu (2023),Action|Drama|Family
206,Thunivu (2023),Action|Crime|Thriller
207,Vettaiyan (2024),Action|Crime|Drama
208,Indian 2 (2024),Action|Drama|Thriller
209,Kaithi (2019),Action|Crime|Thriller
210,Asuran (2019),Action|Crime|Drama
211,Soorarai Pottru (2020),Biography|Drama
212,Karnan (2021),Action|Drama
213,Maanaadu (2021),Action|Sci-Fi|Thriller
214,Rocketry: The Nambi Effect (2022),Biography|Drama
215,Sardar (2022),Action|Spy|Thriller
216,Vaathi (2023),Drama|Action
217,Viduthalai Part 1 (2023),Action|Crime|Drama
218,Jigarthanda DoubleX (2023),Action|Comedy|Period
219,Dada (2023),Drama|Romance
220,Good Night (2023),Comedy|Drama|Romance
221,Maamannan (2023),Drama|Political|Thriller
222,Por Thozhil (2023),Crime|Thriller
223,Chithha (2023),Drama|Thriller
224,Mark Antony (2023),Action|Sci-Fi
225,Pathu Thala (2023),Action|Crime|Drama
226,Ayalaan (2024),Comedy|Sci-Fi
227,Captain Miller (2024),Action|Adventure|Period
228,Laapataa Ladies (2024),Comedy|Drama
229,Crew (2024),Comedy|Heist|Thriller
230,Shaitaan (2024),Horror|Thriller
231,Munjya (2024),Comedy|Horror
232,Bade Miyan Chote Miyan (2024),Action|Comedy
233,Maidaan (2024),Biography|Drama|Sport
234,Stree 2 (2024),Comedy|Horror
235,Singham Again (2024),Action|Crime
236,Pushpa 2: The Rule (2024),Action|Crime|Drama|Thriller
237,Kalki 2898 AD (2024),Action|Adventure|Sci-Fi
238,Devara: Part 1 (2024),Action|Drama
239,Game Changer (2024),Action|Drama|Political
240,Kanguva (2024),Action|Fantasy|Period
241,Thangalaan (2024),Action|Adventure|Period
242,Bagheera (2024),Action|Superhero
243,Raayan (2024),Action|Crime|Drama
244,Coolie (2024),Action|Drama
245,Toxic (2024),Action|Thriller
